pod_name,timestamp,position_m,velocity,current,voltage,levitation_gap,temperature,battery
Pod-A,1771032550.077092,7353.696049559904,299.34484720759815,512.2047367286874,591.2866687147373,11.548196452753846,41.782122546683,99.99
Pod-B,1771032550.077165,6076.8445760742325,280.4861923329982,481.3261057271136,600.5004809937893,12.12038189289347,40.19155576061164,99.99
Pod-C,1771032550.077187,9643.110092251958,252.96946134728222,482.34845252897446,593.7086148057047,11.77426695454063,38.569958553420015,99.99
Pod-A,1771032550.577606,7503.368473163703,299.1655960099016,501.96926094758896,606.8988153911774,12.44737464146258,40.957510206868676,99.97999999999999
Pod-B,1771032550.578006,6217.087672240732,281.5548326576758,499.61712806724086,591.8861109786734,12.188033420347011,38.23032634363915,99.97999999999999
Pod-C,1771032550.578169,9769.5948229256,251.55828253689114,480.32110665750395,594.3626047907183,12.000540293692913,38.4756244466767,99.97999999999999
Pod-A,1771032551.078934,7652.951271168654,301.00088526930887,498.94603529905123,598.5198178214241,12.342730668033374,41.208244899544624,99.96999999999998
Pod-B,1771032551.079288,6357.86508856957,279.6776518908006,495.95424869588857,598.8993749309622,12.05680947870333,40.85158256614622,99.96999999999998
Pod-C,1771032551.079397,9895.373964194045,250.26049182800762,505.94039330785716,591.8297913371249,11.89742326057292,40.60617863544769,99.96999999999998
Pod-A,1771032551.580072,7803.451713803308,300.2906391476942,487.3811301588811,606.8953197387555,12.408195606679797,41.943411231401704,99.95999999999998
Pod-B,1771032551.580462,6497.70391451497,280.07004764770437,508.28818286915873,601.1529007465365,11.677164000809231,41.7794058806193,99.95999999999998
Pod-C,1771032551.580562,20.504210108048937,248.30808711079192,494.5883086535186,591.6291958020417,11.995975610712021,38.48126738490511,99.95999999999998
Pod-A,1771032552.081279,7953.597033377155,298.6947621250997,489.8146505168699,594.3788965545832,12.101223789354842,38.20277421871686,99.94999999999997
Pod-B,1771032552.081694,6637.738938338823,280.29245850641286,509.70974902920244,609.9089158665985,11.798800930443724,41.741183961242925,99.94999999999997
Pod-C,1771032552.081813,144.6582536634449,246.7937884328138,502.4543274420633,597.4351029209902,11.711610206335866,40.55231474177968,99.94999999999997
Pod-A,1771032552.582647,8102.944414439705,297.3319373536136,490.35541572623526,604.7961957544996,12.437132363678732,39.65874948805561,99.93999999999997
Pod-B,1771032552.582957,6777.885167592029,281.6600877227704,503.5548431298203,594.6894669386916,12.041186513722042,38.28154590249735,99.93999999999997
Pod-C,1771032552.583054,268.0551478798518,246.24292434724455,514.1433244864298,597.8543099258969,11.50000929882264,40.278901165925944,99.93999999999997
Pod-A,1771032553.08376,8251.610383116511,297.21413823044753,487.39033082923174,607.668694284259,11.628888557801245,40.802183954811234,99.92999999999996
Pod-B,1771032553.084181,6918.715211453414,280.92880081978376,505.70229417794405,592.4332871881842,11.890351213398558,40.836263483090704,99.92999999999996
Pod-C,1771032553.08429,391.17661005347406,247.7445452995752,494.2858035703845,591.3238524963676,12.240187259877057,40.822156699884545,99.92999999999996
Pod-A,1771032553.585035,8400.217452231735,297.58520009287173,483.1602934334242,608.2057101095025,11.964012196294075,40.905947943918896,99.91999999999996
Pod-B,1771032553.585439,7059.179611863306,282.1177116958716,494.0792490325894,598.628321650376,11.809184142613361,39.666200087008285,99.91999999999996
Pod-C,1771032553.585534,515.0488827032617,246.22201962336905,500.8409121465862,591.931004766745,11.964825669773862,40.45704343905693,99.91999999999996
Pod-A,1771032554.086223,8549.01005227817,297.5200036619106,497.56370819028075,602.6474635428652,12.041170638382091,38.267973154005254,99.90999999999995
Pod-B,1771032554.086589,7200.238467711241,283.7090267542372,486.8825818405736,605.8650779061993,12.016598347971067,38.5440228949403,99.90999999999995
Pod-C,1771032554.086687,638.1598925149463,247.2521415703457,518.5152985851528,609.7531333324887,12.312122963347344,41.76847516626325,99.90999999999995
Pod-A,1771032554.587368,8697.770054109125,296.5019304945589,500.5827095182376,606.9307692653947,12.265457625509775,39.44352414953973,99.89999999999995
Pod-B,1771032554.587687,7342.09298108836,284.7128846877245,506.37308553085194,592.6352229588005,12.421211322598221,41.22120212903636,99.89999999999995
Pod-C,1771032554.587783,761.7859633001191,248.04347671520753,499.389328771301,597.8429397881665,11.896435711248733,40.24446018321666,99.89999999999995
Pod-A,1771032555.088502,8846.021019356405,298.2445343232517,494.347262591103,592.0142459315865,11.70755925211389,38.80432747087001,99.88999999999994
Pod-B,1771032555.088872,7484.449423432222,285.36605443117065,489.22358559627236,594.946413852005,11.950266573315064,39.38441895775179,99.88999999999994
Pod-C,1771032555.08898,885.8077016577229,246.4422129643713,498.7778382182865,598.7462470685416,11.737711739954088,38.79285133002183,99.88999999999994
Pod-A,1771032555.589725,8995.14328651803,299.0705123311131,508.72041434494645,596.9682728638155,11.803661127900858,40.67737692041824,99.87999999999994
